Start,End,Open,High,Low,Close,Volume,Market Cap,SMA_5,SMA_7,SMA_20
2012-10-29 00:00:00,2012-10-30 00:00:00,10.6,10.6,10.6,10.6,0.0,0.0,10.518539999999998,10.841814285714287,11.49508
2012-10-30 00:00:00,2012-10-31 00:00:00,10.8875,10.8875,10.8875,10.8875,0.0,0.0,10.52372,10.732885714285715,11.433454999999999
2012-10-31 00:00:00,2012-11-01 00:00:00,11.201,11.201,11.201,11.201,0.0,0.0,10.729800000000001,10.668742857142856,11.392005000000001
2012-11-01 00:00:00,2012-11-02 00:00:00,10.57,10.57,10.57,10.57,0.0,0.0,10.7917,10.627085714285714,11.320505
2012-11-02 00:00:00,2012-11-03 00:00:00,10.4688,10.4688,10.4688,10.4688,0.0,0.0,10.74546,10.669685714285714,11.250895
2012-11-03 00:00:00,2012-11-04 00:00:00,10.6425,10.6425,10.6425,10.6425,0.0,0.0,10.753960000000001,10.724257142857143,11.196075
2012-11-04 00:00:00,2012-11-05 00:00:00,10.8001,10.8001,10.8001,10.8001,0.0,0.0,10.73648,10.738557142857143,11.144175
2012-11-05 00:00:00,2012-11-06 00:00:00,10.748,10.748,10.748,10.748,0.0,0.0,10.64588,10.7597,11.08908
2012-11-06 00:00:00,2012-11-07 00:00:00,10.899,10.899,10.899,10.899,0.0,0.0,10.71168,10.761342857142855,11.04353
2012-11-07 00:00:00,2012-11-08 00:00:00,10.92,10.92,10.92,10.92,0.0,0.0,10.80192,10.7212,10.99254
2012-11-08 00:00:00,2012-11-09 00:00:00,10.925,10.925,10.925,10.925,0.0,0.0,10.858419999999999,10.771914285714287,10.951785000000001
2012-11-09 00:00:00,2012-11-10 00:00:00,10.815,10.815,10.815,10.815,0.0,0.0,10.8614,10.821371428571428,10.90554
2012-11-10 00:00:00,2012-11-11 00:00:00,10.89,10.89,10.89,10.89,0.0,0.0,10.8898,10.856728571428572,10.868485
2012-11-11 00:00:00,2012-11-12 00:00:00,10.8687,10.8687,10.8687,10.8687,0.0,0.0,10.88374,10.86652857142857,10.826415
2012-11-12 00:00:00,2012-11-13 00:00:00,11.008,11.008,11.008,11.008,0.0,0.0,10.90134,10.903671428571428,10.794315
2012-11-13 00:00:00,2012-11-14 00:00:00,10.9512,10.9512,10.9512,10.9512,0.0,0.0,10.90658,10.911128571428574,10.759375
2012-11-14 00:00:00,2012-11-15 00:00:00,10.95,10.95,10.95,10.95,0.0,0.0,10.933580000000001,10.915414285714288,10.763795
2012-11-15 00:00:00,2012-11-16 00:00:00,11.1977,11.1977,11.1977,11.1977,0.0,0.0,10.99512,10.954371428571429,10.81515
2012-11-16 00:00:00,2012-11-17 00:00:00,11.7489,11.7489,11.7489,11.7489,0.0,0.0,11.171159999999999,11.087785714285713,10.88957
2012-11-17 00:00:00,2012-11-18 00:00:00,11.7889,11.7889,11.7889,11.7889,0.0,0.0,11.327340000000001,11.216199999999999,10.944015
2012-11-18 00:00:00,2012-11-19 00:00:00,11.6515,11.6515,11.6515,11.6515,0.0,0.0,11.467400000000001,11.328028571428572,10.996590000000001
2012-11-19 00:00:00,2012-11-20 00:00:00,11.7999,11.7999,11.7999,11.7999,0.0,0.0,11.637379999999999,11.441157142857142,11.04221
2012-11-20 00:00:00,2012-11-21 00:00:00,11.7328,11.7328,11.7328,11.7328,0.0,0.0,11.7444,11.552814285714286,11.0688
2012-11-21 00:00:00,2012-11-22 00:00:00,11.77,11.77,11.77,11.77,0.0,0.0,11.748619999999999,11.669957142857143,11.1288
2012-11-22 00:00:00,2012-11-23 00:00:00,12.4219,12.4219,12.4219,12.4219,0.0,0.0,11.87522,11.844842857142856,11.226455
2012-11-23 00:00:00,2012-11-24 00:00:00,12.345,12.345,12.345,12.345,0.0,0.0,12.013919999999999,11.930000000000001,11.31158
